-26.206000.6, -5.580000.6, -8.924000.6, -0.528000.6, -0.112000.6, 0.842000.6
-21.676000.6, -15.753000.6, -8.926000.6, -0.437000.6, -0.317000.6, 0.842000.6
-13.399000.6, -23.204000.6, -8.926000.6, -0.270000.6, -0.467000.6, 0.842000.6
-2.802000.6, -26.652000.6, -8.929000.6, -0.056000.6, -0.537000.6, 0.842000.6
8.281000.6, -25.477000.6, -8.923000.6, 0.167000.6, -0.513000.6, 0.842000.6
17.927000.6, -19.912000.6, -8.925000.6, 0.361000.6, -0.401000.6, 0.842000.6
24.474000.6, -10.908000.6, -8.926000.6, 0.493000.6, -0.219000.6, 0.842000.6
26.792000.6, -0.003000.6, -8.923000.6, 0.540000.6, 0.000000.6, 0.842000.6
27.704000.6, -0.004000.6, -9.516000.6, 0.550000.6, 0.000000.6, 0.835000.6
25.308000.6, 11.273000.6, -9.517000.6, 0.503000.6, 0.224000.6, 0.835000.6
18.531000.6, 20.598000.6, -9.519000.6, 0.368000.6, 0.409000.6, 0.835000.6
8.565000.6, 26.354000.6, -9.520000.6, 0.170000.6, 0.523000.6, 0.835000.6
-2.900000.6, 27.557000.6, -9.517000.6, -0.058000.6, 0.547000.6, 0.835000.6
-13.853000.6, 24.004000.6, -9.523000.6, -0.275000.6, 0.477000.6, 0.835000.6
-22.418000.6, 16.290000.6, -9.520000.6, -0.445000.6, 0.324000.6, 0.835000.6
-27.104000.6, 5.762000.6, -9.520000.6, -0.538000.6, 0.114000.6, 0.835000.6
-27.099000.6, -5.767000.6, -9.518000.6, -0.538000.6, -0.114000.6, 0.835000.6
-22.413000.6, -16.288000.6, -9.518000.6, -0.445000.6, -0.324000.6, 0.835000.6
-13.857000.6, -23.999000.6, -9.523000.6, -0.275000.6, -0.477000.6, 0.835000.6
-2.900000.6, -27.547000.6, -9.514000.6, -0.058000.6, -0.547000.6, 0.835000.6
8.559000.6, -26.355000.6, -9.522000.6, 0.170000.6, -0.523000.6, 0.835000.6
18.534000.6, -20.594000.6, -9.518000.6, 0.368000.6, -0.409000.6, 0.835000.6
25.307000.6, -11.270000.6, -9.516000.6, 0.503000.6, -0.224000.6, 0.835000.6
27.704000.6, -0.002000.6, -9.516000.6, 0.550000.6, 0.000000.6, 0.835000.6
28.614000.6, -0.002000.6, -10.125000.6, 0.561000.6, 0.000000.6, 0.828000.6
26.143000.6, 11.646000.6, -10.129000.6, 0.512000.6, 0.228000.6, 0.828000.6
19.146000.6, 21.272000.6, -10.129000.6, 0.375000.6, 0.417000.6, 0.828000.6
8.842000.6, 27.211000.6, -10.121000.6, 0.173000.6, 0.533000.6, 0.828000.6
-2.998000.6, 28.457000.6, -10.123000.6, -0.059000.6, 0.558000.6, 0.828000.6
-14.307000.6, 24.792000.6, -10.131000.6, -0.280000.6, 0.486000.6, 0.828000.6
-23.152000.6, 16.818000.6, -10.125000.6, -0.454000.6, 0.330000.6, 0.828000.6
